,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
4678,48.0,37.597656,2.2558594,0.0,2025:02:22 12:50:00,2025:02:22 12:51:00,UTC+0100,2,Eindhoven
4694,32.0,23.67,1.2222222,1.21,2025:02:22 12:50:00,2025:02:22 12:51:00,UTC+0100,2,Eindhoven
4679,17.0,17.378906,1.0427344,0.0,2025:02:22 12:51:00,2025:02:22 12:52:00,UTC+0100,2,Eindhoven
4695,17.0,12.41,1.1388888,0.64,2025:02:22 12:51:00,2025:02:22 12:52:00,UTC+0100,2,Eindhoven
4680,25.0,19.578125,1.1746875,0.0,2025:02:22 12:52:00,2025:02:22 12:53:00,UTC+0100,2,Eindhoven
4696,42.0,31.38,1.2222222,1.53,2025:02:22 12:52:00,2025:02:22 12:53:00,UTC+0100,2,Eindhoven
4681,21.0,16.351562,0.98109376,0.0,2025:02:22 12:53:00,2025:02:22 12:54:00,UTC+0100,2,Eindhoven
4697,23.0,16.56,1.1388888,0.87,2025:02:22 12:53:00,2025:02:22 12:54:00,UTC+0100,2,Eindhoven
4698,2.0,1.51,1.3611112,0.08,2025:02:22 12:54:00,2025:02:22 12:55:00,UTC+0100,2,Eindhoven
4699,12.0,9.6484375,0.57890624,0.0,2025:02:22 12:54:00,2025:02:22 12:55:00,UTC+0100,2,Eindhoven
4700,14.0,10.207031,0.6124219,0.0,2025:02:22 12:55:00,2025:02:22 12:56:00,UTC+0100,2,Eindhoven
4719,34.0,25.15,1.2222222,1.26,2025:02:22 12:55:00,2025:02:22 12:56:00,UTC+0100,2,Eindhoven
4701,18.0,13.359375,0.8015625,0.0,2025:02:22 12:56:00,2025:02:22 12:57:00,UTC+0100,2,Eindhoven
4720,17.0,12.42,1.1944444,0.62,2025:02:22 12:56:00,2025:02:22 12:57:00,UTC+0100,2,Eindhoven
4702,13.0,12.5078125,0.75046873,0.0,2025:02:22 12:57:00,2025:02:22 12:58:00,UTC+0100,2,Eindhoven
4721,42.0,30.36,1.0833334,1.58,2025:02:22 12:57:00,2025:02:22 12:58:00,UTC+0100,2,Eindhoven
4703,0.0,0.0,0.0,0.0,2025:02:22 12:58:00,2025:02:22 12:59:00,UTC+0100,2,Eindhoven
4722,53.0,39.14,1.2777778,1.9,2025:02:22 12:58:00,2025:02:22 12:59:00,UTC+0100,2,Eindhoven
4704,26.0,18.523438,1.1114062,0.0,2025:02:22 12:59:00,2025:02:22 13:00:00,UTC+0100,2,Eindhoven
4723,42.0,30.95,1.2222222,1.58,2025:02:22 12:59:00,2025:02:22 13:00:00,UTC+0100,2,Eindhoven
4705,33.0,24.265625,1.4559375,0.0,2025:02:22 13:00:00,2025:02:22 13:01:00,UTC+0100,2,Eindhoven
4706,32.0,24.054688,1.4432813,0.0,2025:02:22 13:01:00,2025:02:22 13:02:00,UTC+0100,2,Eindhoven
4724,41.0,30.65,1.3888888,1.43,2025:02:22 13:01:00,2025:02:22 13:02:00,UTC+0100,2,Eindhoven
4707,12.0,8.96875,0.538125,0.0,2025:02:22 13:02:00,2025:02:22 13:03:00,UTC+0100,2,Eindhoven
4725,41.0,30.27,1.2777778,1.53,2025:02:22 13:02:00,2025:02:22 13:03:00,UTC+0100,2,Eindhoven
4708,25.0,18.070312,1.0842187,0.0,2025:02:22 13:03:00,2025:02:22 13:04:00,UTC+0100,2,Eindhoven
4726,61.0,45.75,1.3055556,2.33,2025:02:22 13:03:00,2025:02:22 13:04:00,UTC+0100,2,Eindhoven
4709,22.0,17.027344,1.0216407,0.0,2025:02:22 13:04:00,2025:02:22 13:05:00,UTC+0100,2,Eindhoven
4727,49.0,35.87,1.1388888,1.9,2025:02:22 13:04:00,2025:02:22 13:05:00,UTC+0100,2,Eindhoven
4710,0.0,0.0,0.0,0.0,2025:02:22 13:05:00,2025:02:22 13:06:00,UTC+0100,2,Eindhoven
4728,56.0,41.93,1.3055556,2.11,2025:02:22 13:05:00,2025:02:22 13:06:00,UTC+0100,2,Eindhoven
4711,0.0,0.0,0.0,0.0,2025:02:22 13:06:00,2025:02:22 13:07:00,UTC+0100,2,Eindhoven
4729,66.0,48.78,1.2777778,2.44,2025:02:22 13:06:00,2025:02:22 13:07:00,UTC+0100,2,Eindhoven
4712,10.0,11.96875,0.718125,0.0,2025:02:22 13:07:00,2025:02:22 13:08:00,UTC+0100,2,Eindhoven
4730,50.0,37.35,1.2777778,1.92,2025:02:22 13:07:00,2025:02:22 13:08:00,UTC+0100,2,Eindhoven
4713,0.0,0.0,0.0,0.0,2025:02:22 13:08:00,2025:02:22 13:09:00,UTC+0100,2,Eindhoven
4731,32.0,23.88,1.25,1.26,2025:02:22 13:08:00,2025:02:22 13:09:00,UTC+0100,2,Eindhoven
4714,22.0,17.320312,1.0392188,0.0,2025:02:22 13:09:00,2025:02:22 13:10:00,UTC+0100,2,Eindhoven
4732,41.0,30.11,1.25,1.59,2025:02:22 13:09:00,2025:02:22 13:10:00,UTC+0100,2,Eindhoven
4715,4.0,2.9960938,0.17976563,0.0,2025:02:22 13:10:00,2025:02:22 13:11:00,UTC+0100,2,Eindhoven
4733,54.0,39.69,1.25,1.94,2025:02:22 13:10:00,2025:02:22 13:11:00,UTC+0100,2,Eindhoven
4716,44.0,34.17578,2.050547,0.0,2025:02:22 13:11:00,2025:02:22 13:12:00,UTC+0100,2,Eindhoven
4734,27.0,20.22,1.3888888,0.94,2025:02:22 13:11:00,2025:02:22 13:12:00,UTC+0100,2,Eindhoven
4717,22.0,17.074219,1.0244532,0.0,2025:02:22 13:12:00,2025:02:22 13:13:00,UTC+0100,2,Eindhoven
4735,51.0,38.21,1.2777778,2.0,2025:02:22 13:12:00,2025:02:22 13:13:00,UTC+0100,2,Eindhoven
4718,14.0,10.7734375,0.64640623,0.0,2025:02:22 13:13:00,2025:02:22 13:14:00,UTC+0100,2,Eindhoven
4736,67.0,49.84,1.25,2.57,2025:02:22 13:13:00,2025:02:22 13:14:00,UTC+0100,2,Eindhoven
4737,53.0,40.16,1.3888888,1.8,2025:02:22 13:14:00,2025:02:22 13:15:00,UTC+0100,2,Eindhoven
4738,0.0,0.0,0.0,0.0,2025:02:22 13:14:00,2025:02:22 13:15:00,UTC+0100,2,Eindhoven
4739,0.0,0.0,0.0,0.0,2025:02:22 13:15:00,2025:02:22 13:16:00,UTC+0100,2,Eindhoven
4750,69.0,51.59,1.3055556,2.57,2025:02:22 13:15:00,2025:02:22 13:16:00,UTC+0100,2,Eindhoven
4740,25.0,18.042969,1.0825782,0.0,2025:02:22 13:16:00,2025:02:22 13:17:00,UTC+0100,2,Eindhoven
4751,60.0,44.42,1.25,2.33,2025:02:22 13:16:00,2025:02:22 13:17:00,UTC+0100,2,Eindhoven
4741,12.0,8.449219,0.5069531,0.0,2025:02:22 13:17:00,2025:02:22 13:18:00,UTC+0100,2,Eindhoven
4752,52.0,39.83,1.3888888,1.85,2025:02:22 13:17:00,2025:02:22 13:18:00,UTC+0100,2,Eindhoven
4742,15.0,11.183594,0.6710156,0.0,2025:02:22 13:18:00,2025:02:22 13:19:00,UTC+0100,2,Eindhoven
4753,43.0,32.34,1.3055556,1.63,2025:02:22 13:18:00,2025:02:22 13:19:00,UTC+0100,2,Eindhoven
4743,24.0,17.191406,1.0314844,0.0,2025:02:22 13:19:00,2025:02:22 13:20:00,UTC+0100,2,Eindhoven
4754,29.0,21.93,1.3333334,1.08,2025:02:22 13:19:00,2025:02:22 13:20:00,UTC+0100,2,Eindhoven
4744,0.0,0.0,0.0,0.0,2025:02:22 13:20:00,2025:02:22 13:21:00,UTC+0100,2,Eindhoven
4755,2.0,1.52,1.3888888,0.08,2025:02:22 13:20:00,2025:02:22 13:21:00,UTC+0100,2,Eindhoven
